ID,Name,Team,Pos,Price,14_pts,15_pts,16_pts,17_pts,18_pts,19_pts,20_pts
99,Mbeumo,BRE,MID,7.8,2.91167,3.3918,2.70149,3.30892,2.73121,2.76702,3.16749
100,Mee,BRE,DEF,4.2,0.35027,0.31082,0.3487,0.29863,0.32435,0.30499,0.31569
101,Nørgaard,BRE,MID,4.8,2.05554,2.07269,1.98667,2.0677,2.00503,1.93476,2.23896
102,Onyeka,BRE,MID,4.9,0,0,0,0,0,0,0
103,Peart-Harris,BRE,MID,4.5,0,0,0,0,0,0,0
104,Pinnock,BRE,DEF,4.5,3.05774,2.70137,3.03288,2.61404,2.86226,2.66193,2.84688
105,Roerslev,BRE,DEF,4.4,1.66266,1.44081,1.65905,1.3671,1.51711,1.42162,1.43071
106,Schade,BRE,MID,5.1,2.42222,3.26941,2.88128,3.57385,3.01237,3.22303,3.29096
107,Thiago,BRE,FWD,5.9,1.25253,1.35495,1.18232,1.38345,1.24482,1.21877,1.49083
108,Toney,BRE,FWD,7.3,1.54573,1.71265,1.42222,1.70304,1.47573,1.47625,1.71466
109,Valdimarsson,BRE,GK,4,0.25108,0.22391,0.24893,0.19702,0.23727,0.20441,0.26381
110,Wissa,BRE,FWD,6.1,2.44786,2.9717,2.34456,3.03661,2.44977,2.6802,2.8988
111,Yarmoliuk,BRE,MID,4.4,1.27835,1.30172,1.24312,1.30521,1.25623,1.23098,1.43611
112,Zanka,BRE,DEF,4.5,0,0,0,0,0,0,0
113,Adingra,BHA,MID,5.3,1.68318,1.78494,1.86096,1.77708,1.81049,1.69473,1.63277
114,Baker-Boaitey,BHA,MID,4.5,0,0,0,0,0,0,0
115,Baleba,BHA,MID,5,1.54844,1.64642,1.73108,1.60206,1.66804,1.53704,1.57597
116,Barco,BHA,DEF,4,0,0,0,0,0,0,0
117,Buonanotte,LEI,MID,5,2.29914,2.11259,2.08386,2.30792,1.91294,1.8587,2.23829
118,Cozier-Duberry,BHA,MID,4.5,0,0,0,0,0,0,0
119,Dahoud,BHA,MID,4.9,0.00779,0.00811,0.00853,0.00798,0.00822,0.00833,0.00726
120,Dunk,BHA,DEF,4.4,2.36477,2.24571,2.15999,2.38833,2.14131,2.4984,2.19006
121,Enciso,BHA,MID,5.4,0.62064,0.66008,0.64043,0.65677,0.61686,0.61715,0.55353
122,Estupiñan,BHA,DEF,5,2.55392,2.42477,2.56275,2.60378,2.53298,2.70915,2.4865
123,Ferguson,BHA,FWD,5.5,1.42768,1.58691,1.5377,1.51048,1.46147,1.36998,1.27889
124,Gilmour,BHA,MID,5,1.82297,1.8985,1.97711,1.8606,1.90472,1.93845,1.72192
125,Gross,BHA,MID,6.5,0,0,0,0,0,0,0
126,Hinshelwood,BHA,MID,5,0.16284,0.66365,1.44568,1.79781,2.06327,1.98165,1.99493
127,I.Osman,BHA,MID,5,0,0,0,0,0,0,0
128,Igor,BHA,DEF,4.4,2.17317,2.0185,2.00569,2.18932,1.99841,2.32958,2.06757
129,"João Pedro",BHA,FWD,5.7,2.21072,2.37524,2.51054,2.20166,2.36971,2.0141,2.09077
130,Kozlowski,BHA,MID,4.5,0,0,0,0,0,0,0
131,Lamptey,BHA,DEF,4.4,0.97744,0.91076,0.88464,0.99165,0.88156,1.04937,0.89859
132,March,BHA,MID,6.5,0.25324,1.02019,2.16484,2.78522,2.85613,2.71629,2.4957
133,Mazilu,BHA,MID,4.5,0,0,0,0,0,0,0
134,Milner,BHA,MID,5,0,0,0,0,0,0,0
135,Minteh,BHA,MID,5.2,1.4324,1.48794,1.44325,1.49023,1.39771,1.3895,1.20506
136,Mitoma,BHA,MID,6.5,2.79654,2.8622,3.12366,2.86615,3.06452,2.7108,2.6566
137,Moder,BHA,MID,4.4,0.4187,0.45109,0.45777,0.43969,0.43844,0.4189,0.40621
138,O’Mahony,BHA,FWD,4.5,0,0,0,0,0,0,0
139,Offiah,BHA,DEF,4,0,0,0,0,0,0,0
140,Peupion,BHA,MID,4.5,0.00015,0.00016,0.00016,0.00015,0.00015,0.00015,0.00014
141,Sarmiento,BHA,MID,4.9,0,0,0,0,0,0,0
142,Steele,BHA,GK,4.3,0.26533,0.22667,0.20034,0.25234,0.19265,0.27499,0.20135
143,Undav,BHA,FWD,5.5,0,0,0,0,0,0,0
144,"Van Hecke",BHA,DEF,4.5,2.61893,2.51755,2.3427,2.65261,2.32022,2.75894,2.37149
145,Veltman,BHA,DEF,4.6,1.28037,1.61618,1.75118,2.02318,1.82326,2.11869,1.86281
146,Verbruggen,BHA,GK,4.5,4.17072,3.56316,3.20015,3.96665,3.07898,4.3224,3.22083
147,Webster,BHA,DEF,4.3,0.11528,0.41544,0.82103,1.23149,1.21564,1.5404,1.33386
148,Welbeck,BHA,FWD,6,2.3637,2.5825,2.7405,2.47695,2.61647,2.28632,2.33294
149,Wieffer,BHA,MID,4.8,1.3478,1.43327,1.42394,1.40421,1.36604,1.32964,1.251
150,"Andrey Santos",CHE,MID,4.5,0,0,0,0,0,0,0
151,Ângelo,CHE,MID,4.5,0.01638,0.01471,0.01526,0.0149,0.01584,0.01372,0.01529
152,Arrizabalaga,BOU,GK,4.5,3.49603,3.306,3.15212,4.19776,3.25374,4.08849,3.09402
153,B.Badiashile,CHE,DEF,4.3,0.83563,0.95435,0.80991,0.79807,0.80918,0.80345,0.86722
154,Bergström,CHE,GK,4,0.00879,0.00847,0.00651,0.00746,0.00682,0.0064,0.00749
155,Bettinelli,CHE,GK,4,0.00879,0.00847,0.00651,0.00746,0.00682,0.0064,0.00749
156,Broja,EVE,FWD,5.4,0.27621,0.29384,0.30804,0.36628,0.33603,0.40653,0.38829
157,Caicedo,CHE,MID,4.9,2.75092,2.45117,2.41061,2.43777,2.36109,2.41742,2.50284
158,Casadei,CHE,MID,4.4,0.08039,0.07048,0.07418,0.07124,0.07246,0.06687,0.07328
159,Chalobah,CRY,DEF,4.4,2.29525,2.34716,2.48488,2.36248,2.47808,2.27759,2.37663
160,Chilwell,CHE,DEF,4.7,0.01437,0.0154,0.01363,0.01325,0.0135,0.01332,0.01432
161,Chukwuemeka,CHE,MID,4.8,0.01745,0.01528,0.0164,0.01525,0.01599,0.01485,0.01573
162,Colwill,CHE,DEF,4.5,2.65162,2.87307,2.45627,2.50411,2.44686,2.47673,2.68381
163,Cucurella,CHE,DEF,5,2.20128,2.43868,2.11195,2.06559,2.0998,2.0624,2.24309
164,D.D.Fofana,CHE,FWD,5.4,0.92914,0.7736,0.86819,0.82753,0.90738,0.77056,0.8144
165,Deivid,CHE,FWD,5,0.00467,0.00366,0.00407,0.00399,0.00394,0.00381,0.00401
166,Dewsbury-Hall,CHE,MID,5.6,0.70865,0.59986,0.67734,0.58706,0.65534,0.59371,0.61168
167,Disasi,CHE,DEF,4.3,0.24032,0.26821,0.22867,0.22785,0.22807,0.22842,0.24636
168,Enzo,CHE,MID,4.8,2.91678,2.64087,2.76362,2.63445,2.70018,2.65351,2.7091
169,Gallagher,CHE,MID,5.9,2.2306,2.03509,2.2216,2.02184,2.32024,1.96547,2.07459
170,Gilchrist,CHE,DEF,4,0,0,0,0,0,0,0
171,Gusto,CHE,DEF,4.9,2.53057,2.70677,2.27095,2.33265,2.254,2.32577,2.52164
172,James,CHE,DEF,4.9,0,0,0,0,0,0,0
173,Kellyman,CHE,MID,4.4,0,0,0,0,0,0,0
174,Lavia,CHE,MID,4.5,1.69204,1.49159,1.60954,1.50089,1.57115,1.42287,1.54226
175,Lukaku,CHE,FWD,6.3,0,0,0,0,0,0,0
176,M.Sarr,CHE,DEF,4.5,0,0,0,0,0,0,0
177,Madueke,CHE,MID,6.4,2.59432,2.3032,2.4846,2.27988,2.42265,2.25747,2.34291
178,"Marc Guiu",CHE,FWD,4.8,0.03356,0.02626,0.02917,0.02868,0.02824,0.02737,0.02882
179,Mudryk,CHE,MID,6.2,1.30478,1.14198,1.30757,1.13849,1.26897,1.10915,1.17549
180,N.Jackson,CHE,FWD,8,3.12199,2.59181,3.1572,2.78885,3.07531,2.68373,2.79807
181,Nkunku,CHE,MID,5.9,1.70036,1.42608,1.5659,1.40522,1.51399,1.40051,1.46715
182,Palmer,CHE,MID,10.9,4.80068,4.11907,5.64511,3.95679,5.41424,4.41886,4.16081
183,Petrović,CHE,GK,4.4,0,0,0,0,0,0,0
184,"Renato Veiga",CHE,MID,4.5,0.3552,0.30766,0.32223,0.31075,0.31423,0.2913,0.32066
185,Sánchez,CHE,GK,4.7,4.86003,4.70652,3.1394,4.22377,3.28757,3.72189,4.23728
186,Sterling,ARS,MID,6.7,1.18647,1.18586,1.24501,1.1694,1.24257,1.20879,1.13855
187,Tosin,CHE,DEF,4.2,0.54482,0.63677,0.52029,0.52859,0.52212,0.53006,0.57495
188,Ugochukwu,SOU,MID,4.5,0,0.77333,0.7589,0.77751,0.80739,0.79387,0.79073
189,W.Fofana,CHE,DEF,4.5,2.22429,2.48098,2.16595,2.09678,2.15577,2.106,2.27398
190,Ahamada,CRY,MID,4.5,0,0,0,0,0,0,0
191,Andersen,FUL,DEF,4.3,0,0,0,0,0,0,0
192,J.Ayew,LEI,MID,5.2,2.0033,1.87026,1.79807,2.03712,1.69243,1.6965,1.86576
193,C.Doucouré,CRY,MID,4.9,1.15338,1.1466,1.21257,1.18603,1.22531,1.30303,1.21087
194,C.Richards,CRY,DEF,4.4,0.9885,1.05234,1.07534,1.0506,1.06776,0.96658,1.04732
195,"Chadi Riad",CRY,DEF,4.3,0,0.02537,1.12146,1.26987,1.33676,1.28278,1.36152
196,Clyne,CRY,DEF,4.4,1.27223,1.27646,1.38019,1.27072,1.37179,1.16408,1.27186
197,Ebiowei,CRY,MID,4.5,0,0,0,0,0,0,0
198,Edouard,LEI,FWD,5.2,0.6092,0.5758,0.5428,0.63571,0.49,0.49883,0.56514
199,Eze,CRY,MID,6.6,2.70503,2.47771,2.63055,2.45365,2.61253,2.95971,2.73384
200,Guéhi,CRY,DEF,4.5,2.52574,2.52651,2.7373,2.54403,2.7329,2.4338,2.55158
201,Henderson,CRY,GK,4.4,3.33068,3.69143,4.0473,3.21676,4.11843,2.85124,3.24238
202,Holding,CRY,DEF,4.3,0.00341,0.00347,0.00367,0.00346,0.00364,0.00332,0.00352
203,Hughes,CRY,MID,4.9,1.66187,1.72398,1.73313,1.76762,1.74692,1.95424,1.81729
