ID,Name,Team,Pos,Price,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts
87,Brierley,BRE,MID,4.4,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5
88,Collins,BRE,DEF,4.6,2.67694,2.5872,2.62749,2.56891,2.65772,2.70144,2.61134,2.71972
89,Damsgaard,BRE,MID,5,2.35514,2.35663,2.78699,2.45957,2.51945,2.45503,2.60373,2.49829
90,Dasilva,BRE,MID,4.8,0,0,0,0,0,0,0,0
91,Flekken,BRE,GK,4.5,4.32613,3.51415,4.59875,3.86455,3.86755,4.12579,3.74475,4.17877
92,Henry,BRE,DEF,4.3,0,0,0,0,0,0,0,0
93,Hickey,BRE,DEF,4.3,0,0,0,0,0,0,0,0
94,Janelt,BRE,MID,4.9,2.1854,2.13215,2.45222,2.1224,2.15304,2.14972,2.22145,2.1841
95,Jensen,BRE,MID,5.3,0.02402,1.72448,2.35833,2.02193,2.10579,2.16626,2.20356,2.2274
96,Ji-soo,BRE,DEF,3.9,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,4.0E-5,3.0E-5,4.0E-5
97,Konak,BRE,MID,4.5,0.45522,0.4243,0.52981,0.42807,0.42785,0.47566,0.44699,0.48052
98,Lewis-Potter,BRE,MID,5,2.23121,2.14095,2.59998,2.20095,2.23976,2.29816,2.31411,2.33608
99,Mbeumo,BRE,MID,7.6,3.11771,3.22972,3.79222,3.42778,3.55603,3.23982,3.67456,3.32112
100,Mee,BRE,DEF,4.2,1.00062,0.95035,0.98047,0.94374,0.98387,1.01066,0.96051,1.01935
101,Nørgaard,BRE,MID,4.8,2.04039,2.00047,2.28471,2.02742,2.03737,2.09914,2.09772,2.11889
102,Onyeka,BRE,MID,4.9,0,0,0,0,0,0,0,0
103,Peart-Harris,BRE,MID,4.5,0,0,0,0,0,0,0,0
104,Pinnock,BRE,DEF,4.5,0,0,0,0,0,0,0,0
105,Roerslev,BRE,DEF,4.3,1.07715,1.36236,1.52524,1.58557,1.66945,1.68557,1.61139,1.70133
106,Schade,BRE,MID,5.1,1.91442,1.95733,2.25406,2.01175,2.07074,1.93541,2.15567,1.97268
107,Thiago,BRE,FWD,5.9,0,0,0,0,0,0,0,0
108,Toney,BRE,FWD,7.3,1.47573,1.47625,1.71466,1.46814,1.53443,1.51173,1.66011,1.52898
109,Valdimarsson,BRE,GK,3.9,0.23605,0.20677,0.2529,0.22863,0.22859,0.22338,0.22073,0.22667
